Review ID,Review Content,Rating,Date,Country
R2PALAAI6TFDFA,"Pros:
* Easy installation.
* Good spray quality from both the overhead and handheld shower heads.
* Affordable price.
Cons:
* Flimsy construction.
* Difficult to tighten moving parts.
* Initial leakage at the pipe connection (required additional tape to fix).
Overall: This rain shower head is a good value for those on a budget. The spray is enjoyable, and installation is simple. However, be prepared for potential leakage and a slightly less robust build. If you need a cheap rain shower head, it gets the job done.",3,25/03/2025,United States
R3L6U6PSXIYTIR,"The first few times using it the stream is awesome!! It comes out just like a rain shower. After though, the jets get clogged. We have a full house water filtration and purification system and it doesn’t create hard water. So, not sure where the issue lies at.",3,21/03/2025,United States
R3MVC57KX3HJ26,"It works great without restrictor but the holder for the smaller head , isnt very good , it slips off slamming onto the tub , it is annoying but the main head I'm happy with and installed so I'm ot returning but being more cautious about that next buy",3,08/04/2025,United States
R3UYPWQEV6JHRS,"Got here quick, easy and convenient to install. The WAND is high pressure, the main shower head is a low pressure rain style. Not what I wanted, misleading title and description. It works, doesn't leak, so you get 3/5 stars.",3,26/03/2025,United States
R3DUI9YX2553QI,Es una buena regadera al principio pero al poco tiempo deja de salir el agua de la shower head grande. Cosa que nunca me había pasado con ninguna regadera.,3,01/04/2025,United States
R10584NPJGT9HO,"I’m guessing it is probably due to the size of flow, the amount of holes, but the pressure isn’t very good",3,07/04/2025,United States
RDY7RXF2OK8LV,"Easy to install, looks great, and instant upgrade to the bathroom decor. It has great water pressure from each option by themselves. However, when using it in combo mode, the water pressure is non existent. This is due to the water flow actuater installed that restricts the flow to 1.8 gallons per minute. I returned after discovering this flaw.",3,01/03/2025,United States
RTDBDWV4FPZ09,"Shower head was great.... for about a month, then a constant drip. Product returned.",3,26/03/2025,United States
R335G1643A12CJ,"Overall, it’s a nice shower head for the price. I was very underwhelmed with the pressure from the rainfall shower head though. I don’t think it’s my water pressure in general because the handlheld shower head works great. The whole thing was fairly easy to install, took me about 20 min by myself. I got it together with no leaks on the first try. The only thing I would change is the water pressure coming from the rainfall portion.",3,09/03/2025,United States
R3CR7PXIMK75L1,Works ok. But immediately started spraying in weird directions not straight.,3,01/04/2025,United States
R1DL009W7BWM2R,"Tried to save a couple bucks because of the water in my area shower heads go bad in about a year, liked the shower setup but it is cheap so spend a little more and get the bigger one with the adjustment and it’s made to last a little longer",3,07/02/2025,United States
R17BYZUT1R1BV0,It’s been only 1.5 months since I started to use the product and it’s been already giving malfunctions. Some holes are not throwing water or drips only. I don’t think it’s useful .,3,16/02/2025,United States
R11KTT9EIRZPVP,"It was extremely easy to install, I did it by myself in 10 minutes and I'm not even that handy. Looks nice and easy to clean. Switching between different modes is easy to use, and the pressure is great for both the handheld and the shower head.
However, a huge issue for me is that less than a year later only 1/3 of the little holes in the rainfall shower head are working as intended. Some of them don't have water coming out at all and some of them spray the water every which way. I don't wash my hair every day and would like to keep it dry while I'm washing my face. This 360 water spraying leaves me and the whole area around the shower soaked. I clean my shower and the shower head regularly and never had such an issue with a rainfall type of installation before. I tried cleaning the holes with a toothpick and a brush but nothing seems to have any effect. So the only solution is to replace the whole thing, which I will do, but not with this brand.",2,11/03/2025,United States
R1EVAB7HR23PQV,"I’m speaking only on water pressure here. I came looking for any shower head that would dump the most water. Couldn’t find anything that anyone said was above the rest, and this one was a best seller that said high pressure so I tried it. The water fall is about a 3/10 and the hand held head is about a 6/10 which is still worse than the old one I had. The multiple settings is cool, it switches between the over head and the hand held really smoothly. Quality product, but go elsewhere if you want some power!",3,25/12/2024,United States
R4Z0RV8KDJU2L,It is a little small to be considered a rain shower head. But the shower extension is a nice addition.,3,27/02/2025,United States
R2Q5CWX2YNP8ER,No Content,3,02/04/2025,United States
R14NTUHCH4LSTS,"This showerhead came nicely packed and I had high hopes for it because of the great reviews but it is supposed to have 3 settings- showerhead only, showerhead and handheld and handheld only. When I set it to the middle setting for both the showerhead and handheld- the handheld has no pressure so when I set it to the showerhead only- the handheld leaks the entire time. I will be returning and am very sad about it because it is a nice looking showerhead.",3,29/12/2024,United States
RZTYM1LW14BZ8,"Overall I believe the quality and power of this shower head is pretty good. I love the rainfall and the hand held wand has strong pressure in different settings form. The wall stick was very secure however I don’t like the base for the wand, it’d be nice if it had more of a securement feature. Not just placed there to fall and get knocked down. Thats the reasoning of not 5 stars.

It would be nice if the rainfall head had some different spray features as well.",3,23/01/2025,United States
R2D4LVHF5GX3AX,It's beautiful and easy to put together.. I just wish there was better water pressure,3,20/03/2025,United States
R12DZM6GKICEZJ,The handheld wand has more water pressure than the big shower head! I'm disappointed!,3,20/02/2025,United States
RHY5S27D83U45,"Do yourself a favor and don’t gamble your time and money save yourself the headache and buy a brand that you know will work. I’ve gone through to of these now and they both have the same leaking issues from the same area in the coupling. I gave the benefit of the doubt on the first one and went ahead with the replacement option finally get some time to install it and they’re both leaking from the exact same “loose” area that allows the arm to pivot and from an engineering standpoint that is the worst ideas when it comes to fluids. Needless to say instead of the two nozzle option I get a complimentary 3 jet that spews like a geyser from an area that should be water tight. With that being said if I took some precious time out of my meager existence I could probably fix it but I’m not purely because I bought this with the intention of having a plug and play shower head and go about my life. Now please excuse me while I go and reattach my old shower head that doesn’t leak because it’s not an entire da Vinci mechanism just to hose myself off…

Edit & UPDATE***: Customer service rep contacted shortly after I left my review. They where extremely concerned with my personal qualm aswell the quality of the product they where distributing. In my personal humble opinion customer CS reaching out to me in a very professional and timely manner means more to me than a faulty piece of equipment. They went above and beyond fixing the the situation and I’m very grateful for their sincerity. With that I changed my original rating from a 1 star to a 3 star regarding their professional and timely customer satisfaction concern for their product quality.",3,06/01/2024,United States
RLGGZWW8WMDKP,No cae con presión el agua como se esperaba,3,11/03/2025,United States
R3R6PWZ2UJARB8,Feels awesome but uses up hot water VERY quickly,3,28/02/2025,United States
