ReviewID,ReviewContent,Rating,Date,country
50168327561826300,"the headphones are good, the quality is excellent, the sound is high, the most important thing is that they do not fall off when chewing, talking or moving at the expense of arms, I had such problems with all the headphones before, due to small ears - all the headphones sit poorly 
 If they need it, I will order more here. 
 Thank you",4.0,17/03/2025,Israel
60089219910007800,Perfect.,5.0,06/03/2025,France
50167033008360400,"It hurts my ears if I put it on for a long time, but it sounds good and good. XT80 Bluetooth 5.3 Earphones True Wirele... XT80 Bluetooth 5.3 Earphones True Wirele...",5.0,04/03/2025,"Korea, Republic of"
60088863759342200,,5.0,28/02/2025,Mexico
60088710882479800,,3.0,06/02/2025,Mexico
30084623444421100,good,5.0,31/01/2025,Mauritius
50161823769227100,,5.0,14/01/2025,"Korea, Republic of"
50162300400706800,Fast delivery. the quality is excellent. the charge holds for a long time. thank you. recommend,5.0,13/01/2025,Israel
60087847774821600,Pretty weak. Audio without serious. Microphone without quality. Use when no other phone available.,3.0,08/01/2025,Brazil
30083780382645200,,5.0,07/01/2025,Spain
30083632004451000,2 years ago I bought these same ones and the truth is that they are going very well for me and I bought them again because the battery is already discharging faster and I don't want to be left without any later so I am very happy with them by the way they reached me long before the indicated date,,02/01/2025,Spain
60087668159448000,Ótimo Fone!!,5.0,31/12/2024,Brazil
60087900864894600,Conforming with product and delivery,5.0,30/12/2024,Peru
60087886829151000,Arrived perfect,5.0,30/12/2024,Brazil
60087872001881100,"It looks great in the ear, it's not bothersome, and the sound quality is spectacular
I recommend",5.0,28/12/2024,Brazil
60087852050565200,First-line product I recommend.,5.0,28/12/2024,Brazil
30083385176045900,,5.0,27/12/2024,Croatia
50159293486371600,"best quality, comfterble in the ear, sound amazing, second time I order, my kids took the first one...",5.0,27/12/2024,Israel
60087809541997100,Very good product.,5.0,26/12/2024,Brazil
60087737596104900,"I was looking for headphones that won't squeeze my head after an hour.  Over-ear is probably best. Comfort is key, even more than sound quality, since I'll be wearing them for a long time.",5.0,23/12/2024,United States
30083186782343400,"Ordered two years ago there was a sound of norms, lost order the wrong sound wheezing the quality is not right, do better",5.0,22/12/2024,Estonia
60087429329130600,,5.0,20/12/2024,Brazil
30083016765545100,"Are are the A. A. A. A. A. A. A. A. A. A.
Back-to-back. Odgovara will describe. Prvi utisak was A.",3.0,18/12/2024,SRB
30083012716706100,,3.0,18/12/2024,Slovenia
60087312160624000,Ótimo,3.0,16/12/2024,Brazil
60087533593670700,Terrible ones still closed the order without solving the problem,3.0,14/12/2024,Brazil
30082359814049600,"Already ordered, they are on the top: Sound, autonomy. I highly recommend.
Really fast delivery but arrived shipment smashed.",5.0,11/12/2024,France
30082547228197800,,,09/12/2024,Ukraine
30082883387197800,,,09/12/2024,Ukraine
60087352463487000,,5.0,08/12/2024,Brazil
60087253919821500,"Good sound, and super quality",5.0,04/12/2024,Mexico
30082281692455900,,3.0,04/12/2024,Spain
30081854202165800,"I don't take it very much, garni earphones, the sound of non-infighting. I will charge 1 W, thinking that it is not so good for them, ale Tse is normal. Dovgo Trimaic charge",5.0,02/12/2024,Ukraine
30081813419308600,,5.0,01/12/2024,Spain
30082448520643700,All OK,5.0,01/12/2024,Finland
60086806531703200,"Very good product, arrived fast.",3.0,28/11/2024,Brazil
60087052041925900,It's really beautiful my partner loves it,5.0,27/11/2024,Peru
60087037948415500,"I had already acquired one of this before, only I lost one and the other I broke, it is an excellent phone, the only defect is that after a while it doesn't load well when you put it in the box, then you have to keep taking it out and putting it until you connect it in the box and load it, Must have a better phone than this one, on that same model, but this sure was the best I 've ever had, it lasted long.",5.0,26/11/2024,Brazil
60087042828936800,"Product arrived fast, great quality, recommend!",5.0,26/11/2024,Brazil
50154364341906800,I recommend the store. Headphone earphone👍The quality and sound is super. the charge is long lasting,5.0,25/11/2024,Israel
60086694953900000,"I just received it. I'm still going to test!
A reliable brand",3.0,23/11/2024,Brazil
30081660854402900,,5.0,22/11/2024,France
60086784329511300,great quality earphomes for working out,3.0,17/11/2024,United States
30080872604772500,Vicorist yak garninturu vistachan for a day battery.,,14/11/2024,Ukraine
50154126862996700,,,14/11/2024,"Korea, Republic of"
30081549322435000,ok,4.0,14/11/2024,Spain
30081040314630200,good,5.0,13/11/2024,Ghana
60086304506570500,,,07/11/2024,Brazil
60086279387312200,"This handset is excellent. I haven't yet found any cost X benefit as good as that handset. The price is very fair for everything it delivers. Is the second I'm buying. The first recently spoiled (broke the handle that holds in the ear) after about 3 years of direct use. The battery is very good and has good sound quality. He wears well in the ear, is light and does not bother wearing it at all.",,07/11/2024,Brazil
60086506416627800,Everything arrived right! The sound of the handset has an excellent quality! Great seller!,5.0,04/11/2024,Brazil
60086489293471000,Too good ..... Mainly to do physical activity!!!!! Good sound quality and very good bass!!,5.0,03/11/2024,Brazil
30080593656397000,item is cool. packaging is not.,5.0,01/11/2024,Netherlands
30080246600592500,super,3.0,31/10/2024,Spain
30080141033518100,,,29/10/2024,United Kingdom
50150705564693400,High quality wine product,5.0,28/10/2024,Israel
60086233456304400,"My phone arrived, good to use in the gym or walkvery sophisticated, very beautiful is modern",3.0,25/10/2024,Brazil
30080641323906000,All very well,4.0,24/10/2024,Spain
60086179075234500,"Surprisingly fast delivery. Product met the expectations. Full-bodied sound, battery with excellent autonomy and case with load level display.",4.0,23/10/2024,Brazil
30079880764957400,"I have already bought 5 pairs of these headphones after 2 years only works 1 pair, I do not recommend!",3.0,19/10/2024,Poland
50149416769844300,,,18/10/2024,Israel
60086098473281800,,,17/10/2024,Mexico
60086046240481800,,,17/10/2024,Mexico
60085952397934100,Very good,5.0,10/10/2024,Luxembourg
50149157744525800,,5.0,10/10/2024,Israel
60085926380424000,"Sources are great, I use both to play and watch series, I need to write some more to have some coins",5.0,09/10/2024,Brazil
60085838219727600,,3.0,07/10/2024,Brazil
30079884182227000,,5.0,06/10/2024,Sweden
60085890864796000,,3.0,06/10/2024,Peru
60085606176796000,,3.0,06/10/2024,Peru
30079391668685300,,5.0,05/10/2024,Bulgaria
30079107875087700,I received this Bluetooth earphones. It seems to me very good in quality. It works perfectly.,3.0,05/10/2024,France
30079087828448300,Good…………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………….,5.0,04/10/2024,Lithuania
30079063867192000,"Product of very good quality, it is the second that I buy since they sound good and are very comfortable. Unbeatable price",3.0,04/10/2024,Spain
30079645330804500,They are heard perfect.,5.0,01/10/2024,Spain
30079067504771000,I like Me very much.,3.0,29/09/2024,Portugal
60085453399492000,,5.0,28/09/2024,Brazil
30079490185787200,Professional! Fast delivery!,3.0,26/09/2024,Hungary
60089572862709900,,5.0,25/03/2025,Mexico
30086740277224100,Very comfortable and beautiful,5.0,25/03/2025,Spain
30086740647629800,,3.0,25/03/2025,Netherlands
60089542630207800,"Good watch, wait for the customer to inform about its operation",5.0,25/03/2025,Brazil
30087103644934600,Too big,1.0,25/03/2025,Spain
